order_id;order_date;ship_date;ship_mode;customer_id
CA-2016-152156;08.11.2016;11.11.2016;Second Class;CG-12520
CA-2016-138688;12.06.2016;16.06.2016;Second Class;DV-13045
US-2015-108966;11.10.2015;18.10.2015;Standard Class;SO-20335
CA-2014-115812;09.06.2014;14.06.2014;Standard Class;BH-11710
CA-2017-114412;15.04.2017;20.04.2017;Standard Class;AA-10480
CA-2016-161389;05.12.2016;10.12.2016;Standard Class;IM-15070
US-2015-118983;22.11.2015;26.11.2015;Standard Class;HP-14815
CA-2014-105893;11.11.2014;18.11.2014;Standard Class;PK-19075
CA-2014-167164;13.05.2014;15.05.2014;Second Class;AG-10270
CA-2014-143336;27.08.2014;01.09.2014;Second Class;ZD-21925
CA-2016-137330;09.12.2016;13.12.2016;Standard Class;KB-16585
US-2017-156909;16.07.2017;18.07.2017;Second Class;SF-20065
CA-2015-106320;25.09.2015;30.09.2015;Standard Class;EB-13870
CA-2016-121755;16.01.2016;20.01.2016;Second Class;EH-13945
US-2015-150630;17.09.2015;21.09.2015;Standard Class;TB-21520
CA-2017-107727;19.10.2017;23.10.2017;Second Class;MA-17560
CA-2016-117590;08.12.2016;10.12.2016;First Class;GH-14485
CA-2015-117415;27.12.2015;31.12.2015;Standard Class;SN-20710
CA-2017-120999;10.09.2017;15.09.2017;Standard Class;LC-16930
CA-2016-101343;17.07.2016;22.07.2016;Standard Class;RA-19885
CA-2017-139619;19.09.2017;23.09.2017;Standard Class;ES-14080
CA-2016-118255;11.03.2016;13.03.2016;First Class;ON-18715
CA-2014-146703;20.10.2014;25.10.2014;Second Class;PO-18865
CA-2016-169194;20.06.2016;25.06.2016;Standard Class;LH-16900
CA-2015-115742;18.04.2015;22.04.2015;Standard Class;DP-13000
CA-2016-105816;11.12.2016;17.12.2016;Standard Class;JM-15265
CA-2016-111682;17.06.2016;18.06.2016;First Class;TB-21055
CA-2015-135545;24.11.2015;30.11.2015;Standard Class;KM-16720
US-2015-164175;30.04.2015;05.05.2015;Standard Class;PS-18970
CA-2014-106376;05.12.2014;10.12.2014;Standard Class;BS-11590
CA-2016-119823;04.06.2016;06.06.2016;First Class;KD-16270
CA-2016-106075;18.09.2016;23.09.2016;Standard Class;HM-14980
CA-2017-114440;14.09.2017;17.09.2017;Second Class;TB-21520
US-2015-134026;26.04.2015;02.05.2015;Standard Class;JE-15745
US-2017-118038;09.12.2017;11.12.2017;First Class;KB-16600
US-2014-147606;26.11.2014;01.12.2014;Second Class;JE-15745
CA-2016-127208;12.06.2016;15.06.2016;First Class;SC-20770
CA-2014-139451;12.10.2014;16.10.2014;Standard Class;DN-13690
CA-2015-149734;03.09.2015;08.09.2015;Standard Class;JC-16105
US-2017-119662;13.11.2017;16.11.2017;First Class;CS-12400
CA-2017-140088;28.05.2017;30.05.2017;Second Class;PO-18865
CA-2017-155558;26.10.2017;02.11.2017;Standard Class;PG-18895
CA-2016-159695;05.04.2016;10.04.2016;Second Class;GM-14455
CA-2016-109806;17.09.2016;22.09.2016;Standard Class;JS-15685
CA-2015-149587;31.01.2015;05.02.2015;Second Class;KB-16315
US-2017-109484;06.11.2017;12.11.2017;Standard Class;RB-19705
CA-2017-161018;09.11.2017;11.11.2017;Second Class;PN-18775
CA-2017-157833;17.06.2017;20.06.2017;First Class;KD-16345
CA-2016-149223;06.09.2016;11.09.2016;Standard Class;ER-13855
CA-2016-158568;29.08.2016;02.09.2016;Standard Class;RB-19465
CA-2016-129903;01.12.2016;04.12.2016;Second Class;GZ-14470
US-2015-156867;13.11.2015;17.11.2015;Standard Class;LC-16870
CA-2017-119004;23.11.2017;28.11.2017;Standard Class;JM-15250
CA-2015-129476;15.10.2015;20.10.2015;Standard Class;PA-19060
CA-2017-146780;25.12.2017;30.12.2017;Standard Class;CV-12805
CA-2016-128867;03.11.2016;10.11.2016;Standard Class;CL-12565
CA-2014-115259;25.08.2014;27.08.2014;Second Class;RC-19960
CA-2015-110457;02.03.2015;06.03.2015;Standard Class;DK-13090
US-2015-136476;05.04.2015;10.04.2015;Standard Class;GG-14650
CA-2016-103730;12.06.2016;15.06.2016;First Class;SC-20725
US-2014-152030;26.12.2014;28.12.2014;Second Class;AD-10180
US-2014-134614;20.09.2014;25.09.2014;Standard Class;PF-19165
US-2017-107272;05.11.2017;12.11.2017;Standard Class;TS-21610
US-2016-125969;06.11.2016;10.11.2016;Second Class;LS-16975
US-2017-164147;02.02.2017;05.02.2017;First Class;DW-13585
CA-2016-145583;13.10.2016;19.10.2016;Standard Class;LC-16885
CA-2016-110366;05.09.2016;07.09.2016;Second Class;JD-15895
CA-2017-106180;18.09.2017;23.09.2017;Standard Class;SH-19975
CA-2017-155376;22.12.2017;27.12.2017;Standard Class;SG-20080
CA-2015-110744;07.09.2015;12.09.2015;Standard Class;HA-14920
CA-2014-110072;22.10.2014;28.10.2014;Standard Class;MG-17680
CA-2016-114489;05.12.2016;09.12.2016;Standard Class;JE-16165
CA-2016-158834;13.03.2016;16.03.2016;First Class;TW-21025
CA-2015-124919;31.05.2015;02.06.2015;First Class;SP-20650
CA-2015-118948;28.05.2015;03.06.2015;Standard Class;NK-18490
CA-2014-104269;01.03.2014;06.03.2014;Second Class;DB-13060
CA-2016-114104;20.11.2016;24.11.2016;Standard Class;NP-18670
CA-2016-162733;11.05.2016;12.05.2016;First Class;TT-21070
CA-2015-119697;28.12.2015;31.12.2015;Second Class;EM-13960
CA-2016-154508;16.11.2016;20.11.2016;Standard Class;RD-19900
CA-2016-113817;07.11.2016;11.11.2016;Standard Class;MJ-17740
CA-2014-139892;08.09.2014;12.09.2014;Standard Class;BM-11140
CA-2014-118962;05.08.2014;09.08.2014;Standard Class;CS-12130
US-2014-100853;14.09.2014;19.09.2014;Standard Class;JB-15400
US-2017-152366;21.04.2017;25.04.2017;Second Class;SJ-20500
US-2015-101511;21.11.2015;23.11.2015;Second Class;JE-15745
CA-2015-137225;15.12.2015;19.12.2015;Standard Class;JK-15640
CA-2014-166191;05.12.2014;09.12.2014;Second Class;DK-13150
CA-2014-158274;19.11.2014;24.11.2014;Second Class;RM-19675
CA-2016-105018;28.11.2016;02.12.2016;Standard Class;SK-19990
CA-2014-123260;26.08.2014;30.08.2014;Standard Class;FM-14290
CA-2016-157000;16.07.2016;22.07.2016;Standard Class;AM-10360
CA-2015-102281;12.10.2015;14.10.2015;First Class;MP-17470
CA-2015-131457;31.10.2015;06.11.2015;Standard Class;MZ-17515
CA-2014-140004;21.03.2014;25.03.2014;Standard Class;CB-12025
CA-2017-107720;06.11.2017;13.11.2017;Standard Class;VM-21685
US-2017-124303;06.07.2017;13.07.2017;Standard Class;FH-14365
CA-2017-105074;24.06.2017;29.06.2017;Standard Class;MB-17305
CA-2014-133690;03.08.2014;05.08.2014;First Class;BS-11755
US-2017-116701;17.12.2017;21.12.2017;Second Class;LC-17140
CA-2017-126382;03.06.2017;07.06.2017;Standard Class;HK-14890
CA-2017-108329;09.12.2017;14.12.2017;Standard Class;LE-16810
CA-2017-135860;01.12.2017;07.12.2017;Standard Class;JH-15985
CA-2015-101007;09.02.2015;13.02.2015;Second Class;MS-17980
CA-2015-146262;02.01.2015;09.01.2015;Standard Class;VW-21775
CA-2016-130162;28.10.2016;01.11.2016;Standard Class;JH-15910
CA-2015-169397;24.12.2015;27.12.2015;First Class;JB-15925
CA-2015-163055;09.08.2015;16.08.2015;Standard Class;DS-13180
US-2015-145436;28.02.2015;04.03.2015;Standard Class;VD-21670
US-2014-156216;13.09.2014;17.09.2014;Standard Class;EA-14035
US-2017-100930;07.04.2017;12.04.2017;Standard Class;CS-12400
CA-2017-160514;12.11.2017;16.11.2017;Standard Class;DB-13120
CA-2016-157749;04.06.2016;09.06.2016;Second Class;KL-16645
CA-2014-131926;01.06.2014;06.06.2014;Second Class;DW-13480
CA-2016-154739;10.12.2016;15.12.2016;Second Class;LH-17155
CA-2016-145625;11.09.2016;17.09.2016;Standard Class;KC-16540
