return_id;order_id
RN-001;CA-2017-153822
RN-002;CA-2017-129707
RN-003;CA-2014-152345
RN-004;CA-2015-156440
RN-005;US-2017-155999
RN-006;CA-2014-157924
RN-007;CA-2017-131807
RN-008;CA-2016-124527
RN-009;CA-2017-135692
RN-010;CA-2014-123225
RN-011;CA-2017-145772
RN-012;US-2014-105137
RN-013;CA-2017-101805
RN-014;CA-2016-111682
RN-015;CA-2017-131492
RN-016;CA-2015-104129
RN-017;CA-2017-117926
RN-018;US-2016-115952
RN-019;CA-2015-155761
RN-020;CA-2017-100111
RN-021;CA-2014-156349
RN-022;CA-2016-118899
RN-023;CA-2017-108294
RN-024;US-2017-123834
RN-025;CA-2015-168480
RN-026;CA-2017-122007
RN-027;CA-2017-128965
RN-028;CA-2015-169397
RN-029;CA-2015-168564
RN-030;CA-2014-102652
RN-031;CA-2016-112340
RN-032;CA-2016-114727
RN-033;US-2016-151827
RN-034;CA-2016-152814
RN-035;US-2016-114230
RN-036;CA-2015-146486
RN-037;CA-2015-116092
RN-038;CA-2017-118542
RN-039;CA-2015-140984
RN-040;CA-2017-127306
RN-041;CA-2017-119284
RN-042;CA-2017-150609
RN-043;CA-2017-136651
RN-044;CA-2017-136539
RN-045;CA-2014-110786
RN-046;CA-2014-126403
RN-047;CA-2016-157280
RN-048;CA-2016-162138
RN-049;CA-2016-114307
RN-050;CA-2014-123498
RN-051;CA-2016-142398
RN-052;CA-2017-161956
RN-053;CA-2017-134194
RN-054;CA-2015-134075
RN-055;US-2016-156986
RN-056;US-2016-105578
RN-057;US-2016-131149
RN-058;US-2017-147886
RN-059;CA-2014-126361
RN-060;CA-2017-141929
RN-061;CA-2016-145583
RN-062;CA-2015-154970
RN-063;CA-2016-167759
RN-064;CA-2017-109085
RN-065;CA-2014-142769
RN-066;US-2017-107888
RN-067;CA-2014-109918
RN-068;CA-2017-131618
RN-069;US-2017-109253
RN-070;CA-2017-130631
RN-071;US-2017-118087
RN-072;CA-2016-126732
RN-073;US-2016-144057
RN-074;CA-2016-168921
RN-075;CA-2016-109806
RN-076;CA-2014-104829
RN-077;CA-2016-147375
RN-078;CA-2014-134726
RN-079;CA-2017-117513
RN-080;US-2014-138758
RN-081;CA-2014-126522
RN-082;CA-2017-115994
RN-083;CA-2016-138282
RN-084;CA-2017-161459
RN-085;CA-2016-136483
RN-086;CA-2016-116547
RN-087;CA-2015-130785
RN-088;CA-2017-165008
RN-089;US-2015-137008
RN-090;CA-2017-169894
RN-091;CA-2014-105270
RN-092;CA-2016-165330
RN-093;CA-2014-111871
RN-094;CA-2015-157812
RN-095;CA-2016-145982
RN-096;CA-2017-166142
RN-097;CA-2014-127131
RN-098;CA-2017-143084
RN-099;CA-2015-151547
RN-100;CA-2015-138674
RN-101;CA-2014-169019
RN-102;CA-2014-100762
RN-103;US-2014-164406
RN-104;CA-2016-118500
RN-105;CA-2015-143490
RN-106;CA-2017-115427
RN-107;CA-2015-124058
RN-108;CA-2017-132346
RN-109;CA-2016-150077
RN-110;CA-2017-124401
RN-111;CA-2017-137414
RN-112;CA-2017-142867
RN-113;CA-2017-157196
RN-114;CA-2015-149342
RN-115;CA-2016-112123
RN-116;US-2017-147998
RN-117;CA-2015-103716
RN-118;CA-2015-144267
RN-119;CA-2016-109869
RN-120;CA-2017-166898
RN-121;CA-2017-169327
RN-122;CA-2017-169859
RN-123;CA-2017-137085
RN-124;CA-2017-154074
RN-125;CA-2016-130477
RN-126;CA-2016-134775
RN-127;US-2017-105046
RN-128;CA-2016-136924
RN-129;CA-2017-166093
RN-130;CA-2016-106950
RN-131;CA-2017-145128
RN-132;US-2016-114293
RN-133;CA-2017-137099
RN-134;CA-2016-133319
RN-135;CA-2014-103744
RN-136;CA-2015-161627
RN-137;CA-2015-142601
RN-138;CA-2015-112144
RN-139;CA-2014-164861
RN-140;US-2015-128090
RN-141;CA-2014-108609
RN-142;CA-2017-147452
RN-143;CA-2015-123568
RN-144;CA-2017-102519
RN-145;CA-2017-121853
RN-146;CA-2015-132374
RN-147;US-2014-150574
RN-148;CA-2014-148614
RN-149;CA-2017-165491
RN-150;CA-2016-133802
RN-151;CA-2017-112865
RN-152;CA-2016-130680
RN-153;CA-2015-114048
RN-154;CA-2017-108931
RN-155;CA-2017-136308
RN-156;CA-2016-126529
RN-157;CA-2014-135699
RN-158;CA-2015-146255
RN-159;CA-2017-140053
RN-160;CA-2014-143336
RN-161;CA-2017-159954
RN-162;CA-2016-105291
RN-163;CA-2017-158729
RN-164;CA-2017-101273
RN-165;CA-2017-123085
RN-166;CA-2017-131828
RN-167;CA-2017-113670
RN-168;CA-2015-135580
RN-169;US-2016-157490
RN-170;CA-2017-142888
RN-171;CA-2014-153150
RN-172;US-2016-152051
RN-173;CA-2014-103940
RN-174;CA-2016-159345
RN-175;CA-2017-162015
RN-176;CA-2015-148873
RN-177;CA-2017-167395
RN-178;US-2016-127425
RN-179;CA-2017-142342
RN-180;CA-2016-159212
RN-181;CA-2016-116736
RN-182;CA-2016-128671
RN-183;CA-2017-112753
RN-184;US-2016-148957
RN-185;CA-2015-110814
RN-186;CA-2014-164721
RN-187;US-2015-136987
RN-188;CA-2016-151372
RN-189;US-2017-151127
RN-190;US-2015-110569
RN-191;CA-2015-153220
RN-192;CA-2017-117212
RN-193;CA-2017-101574
RN-194;CA-2016-151323
RN-195;CA-2014-166744
RN-196;US-2016-119046
RN-197;CA-2015-105158
RN-198;CA-2017-103380
RN-199;CA-2016-161746
RN-200;CA-2015-111948
RN-201;CA-2017-138163
RN-202;CA-2015-134201
RN-203;US-2015-126214
RN-204;CA-2014-140816
RN-205;CA-2014-133690
RN-206;CA-2016-120873
RN-207;US-2017-103247
RN-208;CA-2017-155712
RN-209;US-2016-108455
RN-210;CA-2016-104689
RN-211;CA-2017-152660
RN-212;US-2015-136749
RN-213;CA-2015-143602
RN-214;CA-2016-134803
RN-215;CA-2016-139269
RN-216;CA-2014-123253
RN-217;CA-2016-162159
RN-218;US-2016-135720
RN-219;CA-2014-159338
